DATE,M1NS
2009-01-01,1580.7
2009-02-01,1552.0
2009-03-01,1594.9
2009-04-01,1627.7
2009-05-01,1617.9
2009-06-01,1661.7
2009-07-01,1657.6
2009-08-01,1651.3
2009-09-01,1641.0
2009-10-01,1664.3
2009-11-01,1683.1
2009-12-01,1724.4
2010-01-01,1674.2
2010-02-01,1685.2
2010-03-01,1729.5
2010-04-01,1716.0
2010-05-01,1708.2
2010-06-01,1732.3
2010-07-01,1718.4
2010-08-01,1739.6
2010-09-01,1741.4
2010-10-01,1767.4
2010-11-01,1828.7
2010-12-01,1871.4
2011-01-01,1855.6
2011-02-01,1858.7
2011-03-01,1909.4
2011-04-01,1918.0
2011-05-01,1934.2
2011-06-01,1954.1
2011-07-01,1994.5
2011-08-01,2101.9
2011-09-01,2099.1
2011-10-01,2128.1
2011-11-01,2164.4
2011-12-01,2208.1
2012-01-01,2209.2
2012-02-01,2194.5
2012-03-01,2246.0
2012-04-01,2268.6
2012-05-01,2248.4
2012-06-01,2271.0
2012-07-01,2314.6
2012-08-01,2334.6
2012-09-01,2358.0
2012-10-01,2416.2
2012-11-01,2415.2
2012-12-01,2509.7
2013-01-01,2481.3
2013-02-01,2455.7
2013-03-01,2497.2
2013-04-01,2542.3
2013-05-01,2518.5
2013-06-01,2523.5
2013-07-01,2543.7
2013-08-01,2537.4
2013-09-01,2555.8
2013-10-01,2618.4
2013-11-01,2607.2
2013-12-01,2715.7
2014-01-01,2701.7
2014-02-01,2706.2
2014-03-01,2773.3
2014-04-01,2809.6
2014-05-01,2782.2
2014-06-01,2824.8
2014-07-01,2841.2
2014-08-01,2790.2
2014-09-01,2834.6
2014-10-01,2865.0
2014-11-01,2861.1
2014-12-01,2992.0
2015-01-01,2941.1
2015-02-01,2979.6
2015-03-01,3023.9
2015-04-01,3035.4
2015-05-01,2975.9
2015-06-01,3020.7
2015-07-01,3038.4
2015-08-01,3022.3
2015-09-01,3016.3
2015-10-01,3011.9
2015-11-01,3056.2
2015-12-01,3141.1
2016-01-01,3094.0
2016-02-01,3096.6
2016-03-01,3179.8
2016-04-01,3234.5
2016-05-01,3234.8
2016-06-01,3247.0
2016-07-01,3244.7
2016-08-01,3319.0
2016-09-01,3296.4
2016-10-01,3327.7
2016-11-01,3328.5
2016-12-01,3384.0
2017-01-01,3388.6
2017-02-01,3358.0
2017-03-01,3477.3
2017-04-01,3489.1
2017-05-01,3517.1
2017-06-01,3527.7
2017-07-01,3548.2
2017-08-01,3588.6
2017-09-01,3542.2
2017-10-01,3601.6
2017-11-01,3603.3
2017-12-01,3652.7
2018-01-01,3651.9
2018-02-01,3566.1
2018-03-01,3688.4
2018-04-01,3698.1
2018-05-01,3655.7
2018-06-01,3656.6
2018-07-01,3680.7
2018-08-01,3690.9
2018-09-01,3675.7
2018-10-01,3722.2
2018-11-01,3680.0
2018-12-01,3800.7
2019-01-01,3748.5
2019-02-01,3705.1
2019-03-01,3757.3
2019-04-01,3823.8
2019-05-01,3791.3
2019-06-01,3831.3
2019-07-01,3863.5
2019-08-01,3850.7
2019-09-01,3878.0
2019-10-01,3924.9
2019-11-01,3926.1
2019-12-01,4043.3
2020-01-01,3983.5
2020-02-01,3942.0
2020-03-01,4290.0
2020-04-01,4851.5
2020-05-01,16170.7
2020-06-01,16544.5
2020-07-01,16746.4
2020-08-01,16869.1
2020-09-01,17136.8
2020-10-01,17321.5
2020-11-01,17642.4
2020-12-01,17949.3
2021-01-01,18085.1
2021-02-01,18263.5
2021-03-01,18721.3
2021-04-01,19085.6
2021-05-01,19169.9
2021-06-01,19310.5
2021-07-01,19459.5
2021-08-01,19683.8
2021-09-01,19874.2
2021-10-01,20021.0
2021-11-01,20267.4
2021-12-01,20591.3
2022-01-01,20549.2
2022-02-01,20528.0
2022-03-01,20800.8
2022-04-01,20817.7
2022-05-01,20537.9
2022-06-01,20535.3
2022-07-01,20470.4
